ACT Symbol,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
AGM$D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",N,AGMpD,N,100,N,AGM-D
AGM$E,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",N,AGMpE,N,100,N,AGM-E
AGM$F,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",N,AGMpF,N,100,N,AGM-F
AGM$G,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",N,AGMpG,N,100,N,AGM-G
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,N,AGM.A,N,100,N,AGM.A
AGO,Assured Guaranty Ltd. Common Stock,N,AGO,N,100,N,AGO
AGR,"Avangrid, Inc. Common Stock",N,AGR,N,100,N,AGR
AGRO,Adecoagro S.A. Common Shares,N,AGRO,N,100,N,AGRO
AGS,"PlayAGS, Inc. Common Stock",N,AGS,N,100,N,AGS
AGX,"Argan, Inc. Common Stock",N,AGX,N,100,N,AGX
AHH,"Armada Hoffler Properties, Inc. Common Stock",N,AHH,N,100,N,AHH
AHH$A,"Armada Hoffler Properties, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock",N,AHHpA,N,100,N,AHH-A
AHL$C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,N,AHLpC,N,100,N,AHL-C
AHL$D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,N,AHLpD,N,100,N,AHL-D
AHL$E,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares",N,AHLpE,N,100,N,AHL-E
AHR,"American Healthcare REIT, Inc. Common Stock",N,AHR,N,100,N,AHR
AHT,Ashford Hospitality Trust Inc Common Stock,N,AHT,N,100,N,AHT
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,N,AHTpD,N,100,N,AHT-D
AHT$F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,N,AHTpF,N,100,N,AHT-F
AHT$G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,N,AHTpG,N,100,N,AHT-G
AHT$H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,N,AHTpH,N,100,N,AHT-H
AHT$I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,N,AHTpI,N,100,N,AHT-I
AI,"C3.ai, Inc. Class A Common Stock",N,AI,N,100,N,AI
AIFD,Engine No. 1 ETF Trust TCW Artificial Intelligence ETF,N,AIFD,Y,100,N,AIFD
AIG,"American International Group, Inc. New Common Stock",N,AIG,N,100,N,AIG
AIN,Albany International Corporation Common Stock,N,AIN,N,100,N,AIN
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,N,AIO,N,100,N,AIO
AIR,AAR Corp. Common Stock,N,AIR,N,100,N,AIR
AIT,"Applied Industrial Technologies, Inc. Common Stock",N,AIT,N,100,N,AIT
AIV,Apartment Investment and Management Company Common Stock,N,AIV,N,100,N,AIV
AIZ,"Assurant, Inc. Common Stock",N,AIZ,N,100,N,AIZ
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",N,AIZN,N,100,N,AIZN
AJG,Arthur J. Gallagher & Co. Common Stock,N,AJG,N,100,N,AJG
AJX,Great Ajax Corp. Common Stock,N,AJX,N,100,N,AJX
AKA,a.k.a. Brands Holding Corp. Common Stock,N,AKA,N,100,N,AKA
AKO.A,Embotelladora Andina S.A. Common Stock,N,AKO.A,N,100,N,AKO.A
AKO.B,Embotelladora Andina S.A. Common Stock,N,AKO.B,N,100,N,AKO.B
AKR,Acadia Realty Trust Common Stock,N,AKR,N,100,N,AKR
AL,Air Lease Corporation Class A Common Stock,N,AL,N,100,N,AL
AL$A,"Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series A",N,ALpA,N,100,N,AL-A
ALB,Albemarle Corporation Common Stock,N,ALB,N,100,N,ALB
ALB$A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,N,ALBpA,N,100,N,ALB-A
ALC,Alcon Inc. Ordinary Shares,N,ALC,N,100,N,ALC
ALE,"Allete, Inc.",N,ALE,N,100,N,ALE
ALEX,"Alexander & Baldwin, Inc. Common Stock REIT Holding Company",N,ALEX,N,100,N,ALEX
ALG,"Alamo Group, Inc. Common Stock",N,ALG,N,100,N,ALG
ALIT,"Alight, Inc. Class A Common Stock",N,ALIT,N,100,N,ALIT
ALK,"Alaska Air Group, Inc. Common Stock",N,ALK,N,100,N,ALK
ALL,Allstate Corporation (The) Common Stock,N,ALL,N,100,N,ALL
ALL$B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,N,ALLpB,N,100,N,ALL-B
ALL$H,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series H",N,ALLpH,N,100,N,ALL-H
ALL$I,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series I",N,ALLpI,N,100,N,ALL-I
ALL$J,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series J",N,ALLpJ,N,100,N,ALL-J
ALLE,Allegion plc Ordinary Shares,N,ALLE,N,100,N,ALLE
ALLY,Ally Financial Inc. Common Stock,N,ALLY,N,100,N,ALLY
ALSN,"Allison Transmission Holdings, Inc. Common Stock",N,ALSN,N,100,N,ALSN
ALTG,Alta Equipment Group Inc. Class A Common Stock,N,ALTG,N,100,N,ALTG
ALTG$A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),N,ALTGpA,N,100,N,ALTG-A
ALTM,Arcadium Lithium plc Ordinary Shares,N,ALTM,N,100,N,ALTM
ALUR,"Allurion Technologies, Inc. Common Stock",N,ALUR,N,100,N,ALUR
ALUR.W,"Allurion Technologies, Inc. Warrants, each whole warrant exercisable to purchase 1.420455 shares of common stock at an exercise price of $8.10 per share of common stock",N,ALUR.WS,N,100,N,ALUR+
ALV,"Autoliv, Inc. Common Stock",N,ALV,N,100,N,ALV
ALX,"Alexander's, Inc. Common Stock",N,ALX,N,100,N,ALX
