timestamp,open,high,low,close,volume
2011-01-31 19:55:00,21.463,21.505,21.414,21.46,250
2011-01-31 19:50:00,21.463,21.505,21.414,21.46,250
2011-01-31 19:25:00,21.447,21.513,21.399,21.468,2770
2011-01-31 19:20:00,21.447,21.49,21.399,21.445,1000
2011-01-31 18:50:00,21.424,21.467,21.376,21.422,500
2011-01-31 18:35:00,21.424,21.467,21.376,21.422,171
2011-01-31 18:20:00,21.416,21.459,21.36,21.406,400
2011-01-31 18:10:00,21.47,21.513,21.399,21.445,6453
2011-01-31 18:05:00,21.432,21.474,21.384,21.429,147
2011-01-31 17:40:00,21.439,21.482,21.391,21.437,200
2011-01-31 17:25:00,21.466,21.509,21.36,21.453,7062
2011-01-31 17:20:00,21.466,21.509,21.418,21.464,9846
2011-01-31 17:10:00,21.478,21.521,21.43,21.476,100
2011-01-31 17:05:00,21.455,21.498,21.399,21.445,1000
2011-01-31 17:00:00,21.463,21.505,21.399,21.445,980
2011-01-31 16:45:00,21.463,21.521,21.407,21.476,900
2011-01-31 16:40:00,21.478,21.521,21.368,21.414,3030
2011-01-31 16:35:00,21.486,21.544,21.332,21.476,46100
2011-01-31 16:30:00,21.464,21.512,21.411,21.464,55164
2011-01-31 16:25:00,21.466,21.509,21.418,21.464,62734
2011-01-31 16:15:00,21.469,21.536,21.319,21.365,198788
2011-01-31 16:10:00,21.501,21.544,21.332,21.468,217981
2011-01-31 16:05:00,21.466,21.552,21.351,21.462,14338
2011-01-31 16:00:00,21.47,21.529,21.319,21.468,8167914
2011-01-31 15:55:00,21.42,21.521,21.368,21.464,2040497
2011-01-31 15:50:00,21.432,21.482,21.368,21.418,995788
2011-01-31 15:45:00,21.412,21.49,21.36,21.437,949374
2011-01-31 15:40:00,21.408,21.474,21.36,21.414,600297
2011-01-31 15:35:00,21.416,21.474,21.36,21.414,569260
2011-01-31 15:30:00,21.412,21.49,21.345,21.418,624623
2011-01-31 15:25:00,21.418,21.467,21.353,21.414,330867
2011-01-31 15:20:00,21.432,21.482,21.36,21.414,407667
2011-01-31 15:15:00,21.405,21.49,21.353,21.433,706130
2011-01-31 15:10:00,21.401,21.459,21.345,21.406,329979
2011-01-31 15:05:00,21.404,21.459,21.329,21.395,825546
2011-01-31 15:00:00,21.393,21.459,21.337,21.398,328329
2011-01-31 14:55:00,21.386,21.459,21.329,21.392,673955
2011-01-31 14:50:00,21.354,21.436,21.295,21.384,438897
