,pair,coint_score,pvalue
4391,"('HUM', 'VLO')",-3.530060416258294,0.02982202406406741
1044,"('AVB', 'NKE')",-3.5300269919147556,0.02982478564088911
4870,"('L', 'REGN')",-3.529994485811538,0.029827471560365425
1354,"('CHRW', 'FANG')",-3.5298968351782487,0.029835541493537107
5166,"('NKE', 'PRU')",-3.5297737388431067,0.029845716935398208
1627,"('CNC', 'CSX')",-3.5297159305072445,0.02985049653426084
2480,"('COP', 'COO')",-3.52963034538363,0.02985757391958326
3496,"('ERIE', 'FDX')",-3.5295110814560595,0.029867438730646817
4678,"('JKHY', 'WM')",-3.529212254329446,0.029892168165233372
2894,"('DHI', 'OMC')",-3.5291688701395687,0.029895759874727878
1637,"('CNC', 'DXCM')",-3.528950604243976,0.02991383535339326
1538,"('CAT', 'DELL')",-3.5286144585327457,0.029941691167284137
4580,"('JKHY', 'MSCI')",-3.5284646537689914,0.029954112354076193
4843,"('L', 'LOW')",-3.528389146529368,0.029960374765422088
363,"('ALB', 'CRL')",-3.5283337158884462,0.029964972776704266
4334,"('HES', 'WDAY')",-3.5281901377316527,0.029976885485892925
639,"('APH', 'PCAR')",-3.528091561100671,0.029985066747548826
1529,"('CARR', 'LMT')",-3.5280846488472517,0.029985640494037968
99,"('AOS', 'FSLR')",-3.528073000301966,0.029986607394118493
3630,"('ERIE', 'PGR')",-3.527868690618459,0.03000357066365065
2934,"('ETN', 'SRE')",-3.527766396481985,0.030012066937644473
5504,"('SNA', 'VRTX')",-3.5271978121637844,0.03005932941720409
3644,"('ERIE', 'ROL')",-3.5271367534591715,0.030064408576408817
2910,"('DUK', 'PYPL')",-3.5270991147944537,0.030067539907686888
3487,"('ERIE', 'EXC')",-3.526884703330556,0.03008538307501506
4365,"('HON', 'PKG')",-3.5266934222293407,0.030101308969743376
3998,"('F', 'RL')",-3.526310438794255,0.03013321743560786
4424,"('IDXX', 'SBUX')",-3.526250558303449,0.030138209016162154
2633,"('CVS', 'TMUS')",-3.5261097020456256,0.030149953438941963
3780,"('EXE', 'LMT')",-3.525891359936229,0.03016816624923039
4553,"('JKHY', 'LVS')",-3.5258462107961632,0.03017193349411389
4600,"('JKHY', 'ON')",-3.5258299948533143,0.03017328665050092
1236,"('BMY', 'FIS')",-3.525649068773507,0.030188387726482833
3869,"('FDX', 'TT')",-3.525582478865239,0.030193947304717143
5601,"('TSCO', 'WST')",-3.5254994109297146,0.030200883853700254
373,"('ALB', 'NVDA')",-3.52545914671353,0.03020424658697306
300,"('AMD', 'MTB')",-3.525444701769876,0.030205453058364248
3376,"('EOG', 'PNR')",-3.5253824976059875,0.030210648947392258
1574,"('CBRE', 'LYV')",-3.525303024746209,0.030217288392250494
4225,"('DOC', 'NDSN')",-3.525016419133958,0.030241242775091035
2513,"('COO', 'MAS')",-3.525005054748889,0.030242192939415522
3993,"('F', 'OMC')",-3.524998919872369,0.030242705880588
3957,"('FE', 'ORCL')",-3.5247830253117742,0.03026076169389382
4913,"('MAR', 'STT')",-3.524776690246074,0.03026129165034983
4058,"('GRMN', 'PODD')",-3.5246864306258394,0.03026884312885627
4536,"('JBHT', 'USB')",-3.524613439468349,0.030274951033748696
4884,"('L', 'VLTO')",-3.5244692244606357,0.03028702204349803
3704,"('ERIE', 'ZBRA')",-3.5244041762001315,0.03029246802153754
1952,"('CRL', 'IR')",-3.5243030926263503,0.03030093260854028
1337,"('CHRW', 'CAH')",-3.5241301946351538,0.03031541550025668
4103,"('GM', 'KIM')",-3.5240160822438344,0.03032497741668177
1692,"('CNC', 'GL')",-3.523582198821746,0.030361357648877912
4590,"('JKHY', 'NDSN')",-3.5235714588531706,0.03036225864467686
2560,"('CSGP', 'PAYX')",-3.5233674387380356,0.030379378597156077
4805,"('LII', 'MTB')",-3.5233312025208017,0.030382420149216875
3434,"('EPAM', 'CRM')",-3.523299002242105,0.030385123155272125
3928,"('FE', 'HCA')",-3.5231035674384357,0.030401533045322136
4628,"('JKHY', 'SRE')",-3.5229527439362416,0.030414202262669724
5383,"('PEG', 'PTC')",-3.5228606505452285,0.030421940345862673
5579,"('TSCO', 'VTR')",-3.522801457049223,0.03042691492386318
4263,"('HES', 'MTCH')",-3.522709241025053,0.030434666071929815
3471,"('EQR', 'NXPI')",-3.5226406006877,0.030440436675723652
5562,"('TSCO', 'TDG')",-3.522400984174367,0.03046058858160803
1301,"('BG', 'FICO')",-3.5223017601570703,0.030468936714002835
322,"('AFL', 'BAX')",-3.522285219770403,0.03047032851559568
3995,"('F', 'PEP')",-3.522208084085397,0.03047681986334089
5643,"('VRSK', 'WTW')",-3.5220727514890537,0.030488211614847778
4598,"('JKHY', 'ODFL')",-3.5220025819967273,0.030494119627420428
1607,"('CNC', 'CFG')",-3.521729360377588,0.030517133174546504
1653,"('CNC', 'EMR')",-3.5216394660741797,0.030524708235748137
4640,"('JKHY', 'SMCI')",-3.521455713962611,0.030540197332031994
3294,"('ETR', 'EQT')",-3.5213298600701064,0.03055080985173423
5253,"('PCAR', 'DIS')",-3.5212500011810737,0.03055754551196302
1798,"('CNC', 'OKE')",-3.5212103922229008,0.030560886780122403
1102,"('BAC', 'EMR')",-3.521158510647657,0.03056526379259656
5296,"('PAYX', 'PGR')",-3.5211538813618373,0.030565654370330517
1586,"('CDW', 'FANG')",-3.520841623088697,0.03059200974816524
3307,"('ETR', 'NVR')",-3.520702900142746,0.030603724519929
1768,"('CNC', 'MU')",-3.520670347635344,0.030606474043252216
1402,"('CHRW', 'MKTX')",-3.5206198941370506,0.030610735976253477
257,"('ABBV', 'DUK')",-3.5205821151437915,0.030613927593134097
337,"('AFL', 'SBAC')",-3.520536332022552,0.03061779578871055
2861,"('DPZ', 'PM')",-3.5202522045069147,0.03064181090633843
1381,"('CHRW', 'HPQ')",-3.5202126669657803,0.030645153982441834
2558,"('CSGP', 'MAA')",-3.520109754994401,0.03065385710704766
665,"('APH', 'VRSN')",-3.52006345496305,0.03065777332391013
2394,"('CLX', 'HST')",-3.5199712846793547,0.030665570673982553
